epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.247,1.48004,4.39066,1.112,0.15198,0.35016,0.16427,0.09992,1.36988,2.47704,1.01139,5.95767e-05,5.95767e-05,5.95767e-05
2,228.805,1.27325,2.43336,1.04607,0.66483,0.74762,0.76251,0.50935,1.21134,1.2295,0.97986,0.000107438,0.000107438,0.000107438
3,335.201,1.23047,1.52647,1.04546,0.89703,0.89265,0.95406,0.69695,0.98596,0.80332,0.9234,0.000143486,0.000143486,0.000143486
4,444.623,1.20482,1.15263,1.03906,0.95197,0.95333,0.98781,0.78058,0.81275,0.64325,0.88977,0.000125837,0.000125837,0.000125837
5,553.528,1.18438,0.96554,1.03195,0.97785,0.97126,0.99295,0.75819,0.90164,0.57994,0.90377,0.000108116,0.000108116,0.000108116
6,655.419,1.16996,0.86132,1.02577,0.98064,0.9812,0.99324,0.77876,0.84182,0.55239,0.88885,9.0395e-05,9.0395e-05,9.0395e-05
7,774.709,1.15742,0.79389,1.02133,0.98948,0.98991,0.9941,0.77353,0.86748,0.51814,0.89278,7.2674e-05,7.2674e-05,7.2674e-05
